_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
28,2,53,51,2228,8,47,46,5,78,106,4510,5591,La Habra Heights,la-habra-heights,295265.56
1221,107,3199,3131,118300,858,823,2874,1882,5216,6437,69799,91800,Carson,carson,15660876.92
9,2,23,28,702,1,26,17,9,44,53,12935,16654,El Segundo,el-segundo,93253.68
31,3,67,57,3924,3,27,89,8,96,127,14818,19630,Mission Hills,mission-hills,519782.04
491,9,1277,984,45919,254,310,1656,50,1779,2270,41797,53568,Hacienda Heights,hacienda-heights,6079080.14
699,36,1529,1348,53634,230,1191,1119,373,2214,2913,60783,80585,Lakewood,lakewood,7100391.84
105,3,225,213,11978,6,176,167,92,336,441,32422,36962,Venice,venice,1585970.56
157,14,388,416,22152,37,123,456,202,661,818,76835,100789,Westlake,westlake,2932804.68
6,0,12,8,150,0,17,3,0,14,20,1424,1985,Hidden Hills,hidden-hills,20179.92
201,8,537,450,12671,273,278,362,82,794,995,36886,46826,Diamond Bar,diamond-bar,1677709.9
37,3,73,69,3092,5,82,51,7,108,145,13771,17032,Sunland,sunland,409641.88
205,13,520,377,15733,30,472,326,82,705,910,16340,20795,Lomita,lomita,2083057.46
77,0,185,104,4447,14,133,112,30,212,289,25927,33069,La Verne,la-verne,589016.78
39,2,61,67,3323,12,28,75,15,91,130,26241,32166,Eagle Rock,eagle-rock,440221.66
0,0,3,3,40,0,3,3,0,6,6,147,186,Sepulveda Basin,sepulveda-basin,5618.12
28,2,57,62,3325,2,10,8,101,93,121,6880,8294,Ladera Heights,ladera-heights,440486.42
114,5,307,266,11387,74,63,357,84,464,578,83810,104833,Koreatown,koreatown,1507733.98
751,70,2207,1751,70770,43,626,3236,123,3277,4028,40904,57102,South Whittier,south-whittier,9368855.52
340,9,916,741,31723,380,218,996,72,1326,1666,36534,45871,Rowland Heights,rowland-heights,4199813.66
203,9,527,730,30352,4,21,903,338,1063,1266,7648,11897,East Compton,east-compton,4018320.68
54,2,145,89,3201,15,23,166,32,182,236,47851,67889,Panorama City,panorama-city,424071.3
245,15,585,392,18058,39,471,400,82,747,992,26913,34105,San Dimas,san-dimas,2390840.96
598,38,1407,974,49516,99,376,1629,315,1821,2419,105237,148840,Pomona,pomona,6555251
